Epoch: [132][0/97], lr: 0.01000	Time 12.122 (12.122)	Data 11.093 (11.093)	Loss 2.4002 (2.4002)	Prec@1 98.438 (98.438)	Prec@5 100.000 (100.000)
Epoch: [133][0/97], lr: 0.01000	Time 13.866 (13.866)	Data 12.831 (12.831)	Loss 2.4916 (2.4916)	Prec@1 93.750 (93.750)	Prec@5 97.656 (97.656)
Epoch: [134][0/97], lr: 0.01000	Time 13.708 (13.708)	Data 12.680 (12.680)	Loss 2.3468 (2.3468)	Prec@1 97.656 (97.656)	Prec@5 100.000 (100.000)
Epoch: [135][0/97], lr: 0.01000	Time 11.843 (11.843)	Data 10.518 (10.518)	Loss 2.5060 (2.5060)	Prec@1 96.875 (96.875)	Prec@5 98.438 (98.438)
Epoch: [136][0/97], lr: 0.01000	Time 13.862 (13.862)	Data 13.086 (13.086)	Loss 2.3617 (2.3617)	Prec@1 98.438 (98.438)	Prec@5 100.000 (100.000)
Epoch: [137][0/97], lr: 0.01000	Time 12.727 (12.727)	Data 11.815 (11.815)	Loss 2.4044 (2.4044)	Prec@1 96.875 (96.875)	Prec@5 99.219 (99.219)
Epoch: [138][0/97], lr: 0.01000	Time 14.125 (14.125)	Data 13.057 (13.057)	Loss 2.4273 (2.4273)	Prec@1 96.094 (96.094)	Prec@5 99.219 (99.219)
Epoch: [139][0/97], lr: 0.01000	Time 14.444 (14.444)	Data 13.505 (13.505)	Loss 2.4870 (2.4870)	Prec@1 96.875 (96.875)	Prec@5 98.438 (98.438)
Epoch: [140][0/97], lr: 0.01000	Time 11.615 (11.615)	Data 10.743 (10.743)	Loss 2.4899 (2.4899)	Prec@1 95.312 (95.312)	Prec@5 99.219 (99.219)
Epoch: [141][0/97], lr: 0.01000	Time 14.508 (14.508)	Data 13.455 (13.455)	Loss 2.4155 (2.4155)	Prec@1 94.531 (94.531)	Prec@5 100.000 (100.000)
Epoch: [142][0/97], lr: 0.01000	Time 13.597 (13.597)	Data 12.571 (12.571)	Loss 2.4031 (2.4031)	Prec@1 97.656 (97.656)	Prec@5 100.000 (100.000)
Epoch: [143][0/97], lr: 0.01000	Time 13.049 (13.049)	Data 12.054 (12.054)	Loss 2.4703 (2.4703)	Prec@1 96.094 (96.094)	Prec@5 100.000 (100.000)
Epoch: [144][0/97], lr: 0.01000	Time 14.114 (14.114)	Data 13.129 (13.129)	Loss 2.4413 (2.4413)	Prec@1 96.875 (96.875)	Prec@5 99.219 (99.219)
